Season,Week,PID,Player,Pos,Team,Opp,FFPts,FFPtsPPR,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,XP,FG,Grade
2015,2,breesd1,Drew Brees,QB,NO,TB,20.6,20.6,25.2,37.9,303.3,2.6,1.0,1.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,A-Game
2015,2,lucka1,Andrew Luck,QB,IND,NYJ,20.2,20.2,23.2,37.0,254.1,2.4,0.9,4.5,17.6,0.1,0.0,0.0,0.0,0.0,0.0,A-Game
2015,2,rodgea1,Aaron Rodgers,QB,GB,SEA,19.9,19.9,21.5,32.2,254.8,2.2,0.5,3.1,18.4,0.1,0.0,0.0,0.0,0.0,0.0,A-Game
2015,2,romot1,Tony Romo,QB,DAL,@PHI,19.6,19.6,24.1,37.3,294.5,2.4,0.8,0.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0,A-Game
2015,2,ryanm1,Matt Ryan,QB,ATL,@NYG,19.3,19.3,22.7,35.6,276.0,2.3,0.9,2.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,A-Game
2015,2,wilsor1,Russell Wilson,QB,SEA,@GB,18.6,18.6,21.0,33.8,236.9,1.6,0.7,5.3,36.9,0.2,0.0,0.0,0.0,0.0,0.0,A-Game


